# Comes from Table I Finoguenov et al. 2006
# ID    RA              DEC     r500    flux            z       M500 (*10^13)   ..               ..             .. 
99	149.96500	1.68101	1.6	4.38   0.26	0.37	7.05   0.38	33.3   2.0	1.98   0.06	0
100	149.97091	2.78197	0.7	0.39   0.07	0.70	2.37   0.39	15.0   2.7	1.23   0.10	1
101	149.96495	2.21199	0.7	0.31   0.05	0.43	0.89   0.13	3.5   0.6	0.67   0.05	0
102	149.95293	2.34099	0.5	0.20   0.03	1.10	2.60   0.38	27.1   4.4	1.46   0.11	1
103	149.94991	2.48199	0.8	0.84   0.08	0.80	5.31   0.46	41.5   4.0	1.95   0.09	1
104	149.94987	2.91995	2.7	9.96   0.98	0.13	2.08   0.18	6.5   0.6	0.97   0.04	0
105	149.91987	2.60198	1.1	0.88   0.08	0.25	0.84   0.07	2.7   0.2	0.62   0.03	1
106	149.91688	2.51498	1.4	4.56   0.13	0.73	18.90   0.48	155.7   4.4	3.73   0.05	0
108	149.88981	2.80596	0.8	0.53   0.09	0.65	2.82   0.41	17.0   2.8	1.33   0.10	1
111	149.88386	2.44898	1.0	0.96   0.09	0.36	1.70   0.13	6.8   0.6	0.93   0.04	0
113	149.85995	1.76499	2.4	7.44   0.44	0.12	1.55   0.08	4.6   0.3	0.83   0.02	0
114	149.81183	2.25397	0.8	0.39   0.07	0.47	1.29   0.21	5.7   1.0	0.83   0.07	0
117	149.77272	2.63795	1.7	1.03   0.17	0.08	0.14   0.02	0.3   0.1	0.23   0.02	0
119	149.74586	1.94797	0.8	0.41   0.09	0.45	1.22   0.24	5.2   1.1	0.80   0.08	1
120	149.75467	2.79393	0.8	0.50   0.06	0.49	1.70   0.18	8.0   0.9	0.97   0.05	0
126	149.64969	2.34093	0.8	0.87   0.10	1.00	6.87   0.69	70.8   7.9	2.37   0.12	1
128	149.64372	2.21193	0.6	0.38   0.09	1.00	3.63   0.75	34.8   8.1	1.69   0.18	1
132	149.59548	2.82087	1.4	2.57   0.13	0.34	3.92   0.18	16.8   0.9	1.44   0.04	1
133	149.60532	2.43541	0.7	0.57   0.07	1.15	5.68   0.64	68.7   8.6	2.25   0.13	1
134	149.60148	2.85087	0.6	0.34   0.05	0.95	3.26   0.46	29.1   4.6	1.58   0.11	1
140	149.48149	2.51785	1.9	2.04   0.32	0.09	0.31   0.04	0.7   0.1	0.35   0.03	0
145	149.39739	2.57480	2.5	20.42   0.46	0.37	26.47   0.54	144.9   3.3	3.98   0.04	0
